customer,state,gender,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount
AI49188,Nevada,F,128874317.0,48767.0,108.0,Personal Auto,Two-Door Car,566.472247
GA49547,Washington,M,53630765.0,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,82562978.0,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,53808986.0,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
DY87989,Oregon,M,241275040.0,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,73881781.0,28812.0,93.0,Special Auto,Four-Door Car,425.527834
DP39365,California,,87987970.0,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,88190189.0,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,53844317.00000001,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,74631394.0,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,25668678.0,25049.0,67.0,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,39452416.0,28855.0,101.0,Personal Auto,SUV,647.442031
WC83389,Oregon,,57103331.00000001,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,81626171.0,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,28720513.0,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,61771093.00000001,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,241275040.0,14072.0,71.0,Personal Auto,Four-Door Car,511.2
HM55802,California,,23921079.0,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,58020660.0,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
HS14476,Washington,M,91620632.0,29723.0,80.0,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,,129025601.0,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,32353605.0,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,24545835.0,23158.0,63.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,,189754561.0,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
SK67821,Oregon,,49329163.0,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,57442297.0,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,138917357.0,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,73809767.0,65706.0,91.0,Personal Auto,Four-Door Car,436.8
