status,date,no_of_accounts,no_of_trans,moved_amount
A,930114,2,2,45749.0
A,930117,1,1,1100.0
A,930119,1,1,700.0
A,930124,1,1,900.0
A,930125,1,1,900.0
A,930130,1,1,1000.0
A,930131,2,3,5392.999996960163
A,930204,1,1,300.0
A,930205,1,1,7618.0
A,930207,2,2,14693.0
A,930208,3,3,2100.0
A,930210,1,1,1100.0
A,930211,1,1,12154.0
A,930212,3,4,93135.0
A,930213,2,2,10500.0
A,930214,1,1,44749.0
A,930216,1,1,4200.0
A,930218,2,2,30623.0
A,930219,1,1,33410.0
A,930220,1,1,700.0
A,930223,2,2,35461.0
A,930224,1,1,4500.0
A,930226,2,2,2200.0
A,930227,1,1,200.0
A,930228,12,15,64161.599996089935
A,930301,1,1,3900.0
A,930304,2,2,46118.0
A,930305,3,3,33958.0
A,930306,1,1,19000.0
A,930307,2,2,30342.0
A,930309,1,1,700.0
A,930310,3,3,44485.0
A,930311,1,1,12154.0
A,930312,4,4,67705.0
A,930313,2,2,43344.0
A,930314,1,2,70049.0
A,930315,3,3,4700.0
A,930316,3,3,51498.0
A,930317,1,1,16549.0
A,930318,3,3,12824.0
A,930319,1,1,1100.0
A,930320,3,3,43774.0
A,930321,1,1,12801.0
A,930322,1,1,16400.0
A,930323,1,1,39703.0
A,930324,3,3,62040.0
A,930325,3,3,70480.0
A,930326,2,2,49282.0
A,930327,1,1,600.0
A,930328,4,4,15707.0
A,930329,2,2,8600.0
A,930331,25,31,62422.69997906685
A,930402,1,1,1100.0
A,930404,3,4,138227.0
A,930405,4,4,76158.0
A,930406,3,3,41736.0
A,930407,4,4,52923.0
A,930408,1,1,13700.0
A,930409,2,2,29900.0
A,930410,2,2,35462.0
A,930411,1,1,12154.0
A,930412,6,6,125087.0
A,930413,5,5,130237.0
A,930414,6,6,123145.0
A,930415,2,2,69199.0
A,930416,1,1,8677.0
A,930417,3,3,10600.0
A,930418,1,1,6000.0
A,930419,3,3,47400.0
A,930420,2,4,56790.0
A,930421,3,3,29229.0
A,930422,2,2,27100.0
A,930423,2,2,36337.0
A,930424,2,2,11030.0
A,930425,1,1,24200.0
A,930426,2,2,17586.0
A,930427,4,4,42173.0
A,930428,4,6,128663.0
A,930429,1,1,13472.0
A,930430,34,45,29167.79998731613
A,930501,1,1,24008.0
A,930502,2,4,141737.0
A,930503,1,1,25724.0
A,930504,2,2,24200.0
A,930505,5,5,77318.0
A,930506,4,4,121459.0
A,930507,5,5,60220.0
A,930508,2,2,38335.0
A,930509,3,3,32719.0
A,930510,3,3,74278.0
A,930511,5,6,105663.0
A,930512,8,8,106543.0
A,930513,4,4,56485.0
A,930514,8,10,203517.0
A,930515,4,4,84064.0
A,930516,2,2,23518.0
A,930517,5,5,126604.0
A,930518,1,1,4800.0
A,930519,3,3,60900.0
A,930520,4,4,20900.0
A,930521,3,3,22763.0
A,930522,2,2,14100.0
A,930523,2,2,24200.0
A,930524,2,2,40958.0
A,930525,5,5,158372.0
A,930526,2,2,42285.0
A,930527,3,3,46100.0
A,930528,5,7,110269.0
A,930529,1,1,1000.0
A,930530,4,4,52064.0
A,930531,42,56,17344.89999771118
A,930601,1,1,23500.0
A,930602,2,2,32842.0
A,930603,6,7,170648.0
A,930604,3,3,38900.0
A,930605,5,7,134992.0
A,930606,4,4,101415.0
A,930607,4,4,76831.5
A,930608,3,3,46449.0
A,930609,3,4,65950.0
A,930610,8,8,132519.0
A,930611,7,7,83934.0
A,930612,4,4,95467.0
A,930613,11,11,168441.0
A,930614,5,5,137235.0
A,930615,2,2,17308.0
A,930616,4,4,74564.0
A,930617,4,4,23700.0
A,930618,6,6,88720.0
A,930619,7,7,134499.0
A,930620,4,4,44054.0
A,930621,5,5,77899.0
A,930622,5,5,161573.0
A,930623,5,6,66586.0
A,930624,3,3,54300.0
A,930625,3,3,76600.0
A,930626,5,8,216399.0
A,930627,5,5,64233.0
A,930628,3,3,49302.0
A,930629,4,4,74398.0
A,930630,49,79,110570.6999874115
A,930701,2,2,36900.0
A,930702,4,5,65418.0
A,930703,2,2,10700.0
A,930704,3,3,20300.0
A,930705,6,6,41014.0
A,930706,8,9,149100.0
A,930707,12,13,161948.0
A,930708,4,4,88411.0
A,930709,9,9,148109.0
A,930710,8,8,78066.0
A,930711,12,12,80405.0
A,930712,7,7,108951.0
A,930713,13,14,158331.0
A,930714,7,7,164932.0
A,930715,2,3,87374.0
A,930716,5,5,48100.0
A,930717,2,2,15200.0
A,930718,6,6,73019.0
A,930719,8,9,179543.0
A,930720,3,3,18400.0
A,930721,5,5,48600.0
A,930722,5,6,164072.0
A,930723,3,3,28280.0
A,930724,5,6,144340.0
A,930725,5,7,207037.0
A,930726,6,6,55527.0
A,930727,6,6,55308.0
A,930728,5,5,59029.0
A,930729,5,5,90653.0
A,930730,4,5,138046.0
A,930731,58,97,87100.3000535965
A,930801,3,3,11800.0
A,930802,4,5,82628.0
A,930803,3,4,155985.0
A,930804,6,6,69958.0
A,930805,11,11,197205.0
A,930806,7,9,151328.0
A,930807,10,12,83785.0
A,930808,4,4,90617.0
A,930809,7,7,90560.0
A,930810,14,15,332964.0
A,930811,8,8,95006.0
A,930812,12,15,202979.30004882812
A,930813,9,10,139173.0
A,930814,8,9,210305.0
A,930815,4,5,51945.0
A,930816,4,4,20746.0
A,930817,8,8,86350.0
A,930818,6,7,71400.0
A,930819,7,8,160246.0
A,930820,9,10,89343.0
A,930821,3,3,39200.0
A,930822,5,5,96552.0
A,930823,3,3,49425.0
A,930824,3,3,27173.0
A,930825,4,4,28000.0
A,930826,3,4,81089.0
A,930827,6,6,108845.0
A,930828,2,3,13800.0
A,930829,4,4,83844.0
A,930830,5,5,81824.0
A,930831,68,115,83381.90006351471
A,930901,2,2,5240.0
A,930902,4,4,55742.0
A,930903,8,8,73634.0
A,930904,6,6,77086.0
A,930905,13,16,288686.0
A,930906,13,13,123338.0
A,930907,13,14,174659.0
A,930908,8,9,239055.0
A,930909,8,10,171492.0
A,930910,10,10,161654.0
A,930911,8,8,93724.0
A,930912,14,15,159676.0
A,930913,12,12,76241.0
A,930914,10,11,105765.0
A,930915,4,4,27900.0
A,930916,9,9,109017.0
A,930917,9,9,86712.0
A,930918,7,7,101445.0
A,930919,5,5,51229.0
A,930920,5,6,85217.0
